"assetId","source","displayPurpose","scenesOrPrefabs","dimensions","pivot","meshCount","polygonCount","uvStatus","materialSlots","textureDependencies","lodAvailability","colliderDependencies","animationDependencies","placementSockets","visibleDefects","proposedAction","finalAction","testStatus"
"item.paper_bin","src/items.js#BUILDERS.paper_bin","Paper Hands Bin","interior; item preview","0.674 × 0.64 × 0.57","local origin; contact plane Y=0","5","192","all mesh geometries have UV0","2","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small|door","optional per-part spin/blink/flag metadata","floor-small|door","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.bag_rack","src/items.js#BUILDERS.bag_rack","Bagholder Rack","interior; item preview","0.94 × 1.7 × 0.26","local origin; contact plane Y=0","7","86","all mesh geometries have UV0","6","f4bb9fd7-1857-4a4c-ab9a-105ae7ddd079; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall|door","optional per-part spin/blink/flag metadata","floor-tall|door","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.copium_tank","src/items.js#BUILDERS.copium_tank","Copium Tank","interior; item preview","0.68 × 1.406 × 0.45","local origin; contact plane Y=0","6","134","all mesh geometries have UV0","4","7c7cf7d4-e916-4c0f-875a-4c01c358ca7e; tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.hopium_balloon","src/items.js#BUILDERS.hopium_balloon","Hopium Balloon","interior; item preview","0.582 × 2.195 × 0.591","local origin; contact plane Y=0","3","154","all mesh geometries have UV0","3","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.ath_mountain","src/items.js#BUILDERS.ath_mountain","ATH Mountain","interior; item preview","0.727 × 1 × 0.84","local origin; contact plane Y=0","4","42","all mesh geometries have UV0","4","953ed597-c247-4da3-91fb-95b8c1fc4532; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.rug_trap","src/items.js#BUILDERS.rug_trap","Rug Trap","interior; item preview","1.67 × 0.199 × 1.18","local origin; contact plane Y=0","4","48","all mesh geometries have UV0","4","tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-large","optional per-part spin/blink/flag metadata","floor-large","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.green_candle","src/items.js#BUILDERS.green_candle","Green Candle Lamp","interior; item preview","0.48 × 1.725 × 0.48","local origin; contact plane Y=0","4","68","all mesh geometries have UV0","4","tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.red_alarm","src/items.js#BUILDERS.red_alarm","Red Candle Alarm","interior; item preview","0.34 × 0.44 × 0.14","local origin; contact plane Y=0","3","102","all mesh geometries have UV0","3","2d9b208e-9f52-46a9-94db-88b45883dd5a; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.telescope","src/items.js#BUILDERS.telescope","Wen Moon Telescope","interior; item preview","0.6 × 1.344 × 0.715","local origin; contact plane Y=0","3","72","all mesh geometries have UV0","3","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: window","optional per-part spin/blink/flag metadata","window","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.grass_mat","src/items.js#BUILDERS.grass_mat","Touch Grass Mat","interior; item preview","0.8 × 0.21 × 0.8","local origin; contact plane Y=0","8","86","all mesh geometries have UV0","4","7f00d750-3963-4c97-8d0f-6f863ecf0d82; tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small|door","optional per-part spin/blink/flag metadata","floor-small|door","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.alpha_folder","src/items.js#BUILDERS.alpha_folder","Alpha Folder","interior; item preview","0.36 × 0.336 × 0.2","local origin; contact plane Y=0","4","38","all mesh geometries have UV0","4","6712c8b0-6446-444d-918c-78d16fab82b6; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.dyor_shelf","src/items.js#BUILDERS.dyor_shelf","DYOR Bookshelf","interior; item preview","1 × 2.055 × 0.34","local origin; contact plane Y=0","14","158","all mesh geometries have UV0","7","08a27d48-1d88-4bdc-b00d-ca9185c35cc5; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall","optional per-part spin/blink/flag metadata","floor-tall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.vibes_terminal","src/items.js#BUILDERS.vibes_terminal","Vibes Terminal","interior; item preview","0.9 × 1.175 × 0.6","local origin; contact plane Y=0","3","38","all mesh geometries have UV0","3","62ca19d0-9d26-4112-8417-646ca9de4aeb; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.degen_coffee","src/items.js#BUILDERS.degen_coffee","Degen Coffee Machine","interior; item preview","0.34 × 0.45 × 0.39","local origin; contact plane Y=0","5","88","all mesh geometries have UV0","5","0e657bec-051d-4453-a8a9-2cee3681a12d; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.sell_button","src/items.js#BUILDERS.sell_button","Emergency Sell Button","interior; item preview","0.647 × 0.241 × 0.723","local origin; contact plane Y=0","3","82","all mesh geometries have UV0","3","9bea8d29-5192-4e47-92d3-3a4b5c5689cc; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.doormat","src/items.js#BUILDERS.doormat","Trenches Doormat","interior; item preview","1 × 0.045 × 0.6","local origin; contact plane Y=0","2","14","all mesh geometries have UV0","2","389e3701-5353-40e8-afb4-f703de3c1071; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: door","optional per-part spin/blink/flag metadata","door","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.candle_arcade","src/items.js#BUILDERS.candle_arcade","Chase the Candle Arcade","interior; item preview","0.84 × 1.9 × 1.06","local origin; contact plane Y=0","5","86","all mesh geometries have UV0","5","47d0da10-8f3c-4a72-ab2a-3645bc0d3a0b; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall","optional per-part spin/blink/flag metadata","floor-tall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.oil_barrel","src/items.js#BUILDERS.oil_barrel","Official Unofficial Oil Barrel","interior; yard; item preview","0.637 × 0.85 × 0.67","local origin; contact plane Y=0","4","122","all mesh geometries have UV0","3","455c2840-1dad-4f3a-b807-2059488468ab; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small|yard","optional per-part spin/blink/flag metadata","floor-small|yard","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.reserve_safe","src/items.js#BUILDERS.reserve_safe","Strategic Meme Reserve Safe","interior; item preview","1.06 × 1.3 × 1.203","local origin; contact plane Y=0","4","66","all mesh geometries have UV0","4","a03f8476-60d2-4c56-877d-5e2d955b8807; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall","optional per-part spin/blink/flag metadata","floor-tall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.ticker_gen","src/items.js#BUILDERS.ticker_gen","Four-Letter Ticker Generator","interior; item preview","0.7 × 1.3 × 0.598","local origin; contact plane Y=0","4","38","all mesh geometries have UV0","4","9e5ece50-e447-4c89-b9c4-ae09c60f9ca1; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.nothing_cert","src/items.js#BUILDERS.nothing_cert","Tokenized Nothing Certificate","interior; item preview","1 × 0.76 × 0.08","local origin; contact plane Y=0","2","14","all mesh geometries have UV0","2","1444d75c-8a5e-4ec8-8929-ae729ab0c471; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.official_stamp","src/items.js#BUILDERS.official_stamp","Definitely Official Stamp","interior; item preview","0.85 × 0.5 × 0.36","local origin; contact plane Y=0","4","58","all mesh geometries have UV0","4","8f16bc54-a71f-4db0-81be-1793cfad3e2f; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.copycat_printer","src/items.js#BUILDERS.copycat_printer","Copycat Printer","interior; item preview","1.04 × 1.054 × 0.6","local origin; contact plane Y=0","5","30","all mesh geometries have UV0","5","404193b9-34fc-4ffa-b22f-686110066d0f; 8ec0b8a1-2b24-4e5d-9241-4a330c97d6ef; bf291b2d-f11d-458f-a84f-3e42d76af1b9; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.bull_bust","src/items.js#BUILDERS.bull_bust","Bull Market Bust","interior; item preview","0.556 × 0.953 × 0.43","local origin; contact plane Y=0","6","88","all mesh geometries have UV0","5","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: surface","optional per-part spin/blink/flag metadata","surface","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.asset_board","src/items.js#BUILDERS.asset_board","Global Asset Planning Board","interior; item preview","1.3 × 0.9 × 0.121","local origin; contact plane Y=0","10","254","all mesh geometries have UV0","7","f8bc2f51-06ae-499f-9439-6fd1c2d0d537; tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.portal","src/items.js#BUILDERS.portal","Portal to Storage","interior; item preview","1.38 × 1.54 × 0.53","local origin; contact plane Y=0","4","354","all mesh geometries have UV0","4","905fe077-42a6-4c84-997d-94198fb7b3ae; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-tall","optional per-part spin/blink/flag metadata","floor-tall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.brain_lamp","src/items.js#BUILDERS.brain_lamp","Galaxy Brain Lamp","interior; item preview","0.528 × 0.966 × 0.48","local origin; contact plane Y=0","3","132","all mesh geometries have UV0","2","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.ai_printer","src/items.js#BUILDERS.ai_printer","AI Slop Printer","interior; item preview","0.7 × 0.8 × 0.697","local origin; contact plane Y=0","4","106","all mesh geometries have UV0","4","bc022a78-290e-49b1-9243-27579e7353c0; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-med","optional per-part spin/blink/flag metadata","floor-med","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.ring_light","src/items.js#BUILDERS.ring_light","NPC Streamer Ring Light","interior; item preview","0.74 × 1.714 × 0.56","local origin; contact plane Y=0","3","316","all mesh geometries have UV0","3","tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: floor-small","optional per-part spin/blink/flag metadata","floor-small","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.neon_summer","src/items.js#BUILDERS.neon_summer","“Summer Was Different” Neon","interior; item preview","1.34 × 0.555 × 0.06","local origin; contact plane Y=0","3","26","all mesh geometries have UV0","3","951d7115-bb7e-4b27-999d-be57ae4f6492; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: wall","optional per-part spin/blink/flag metadata","wall","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.exit_fountain","src/items.js#BUILDERS.exit_fountain","Exit Liquidity Fountain","interior; yard; item preview","2.15 × 0.9 × 2","local origin; contact plane Y=0","5","222","all mesh geometries have UV0","4","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_fabric_color_1x1; tc_fabric_height_1x1; tc_fabric_roughness_1x1; tc_metal_color_1x1; tc_metal_height_1x1; tc_metal_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: yard","optional per-part spin/blink/flag metadata","yard","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.dept_flag","src/items.js#BUILDERS.dept_flag","Meme Department Flag","interior; yard; item preview","0.892 × 2.2 × 0.12","local origin; contact plane Y=0","2","26","all mesh geometries have UV0","2","507d0cb4-3666-4dc5-90d8-8bedff044142; tc_plastic_color_1x1; tc_plastic_height_1x1; tc_plastic_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: yard","optional per-part spin/blink/flag metadata","yard","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.touch_patch","src/items.js#BUILDERS.touch_patch","Touch Grass Patch","interior; yard; item preview","1.484 × 0.56 × 1.56","local origin; contact plane Y=0","10","166","all mesh geometries have UV0","5","cd32ad99-c122-4677-8ba0-8384c94a57ac; tc_foliage_color_1x1; tc_foliage_height_1x1; tc_foliage_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: yard","optional per-part spin/blink/flag metadata","yard","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"item.bull_statue","src/items.js#BUILDERS.bull_statue","Small Bull Statue","interior; yard; item preview","1 × 1.239 × 0.7","local origin; contact plane Y=0","9","124","all mesh geometries have UV0","4","tc_ceramic_color_1x1; tc_ceramic_height_1x1; tc_ceramic_roughness_1x1; tc_wood_color_1x1; tc_wood_height_1x1; tc_wood_roughness_1x1","not required at current gameplay size; camera culls with scene bounds","placement footprint comes from slot types: yard","optional per-part spin/blink/flag metadata","yard","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"environment.street_network","src/city.js#_streets","Avenues and single-mesh ring roads","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","world-planar UV; asphalt material","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"environment.plot_pad","src/city.js#_plotPadGeometry","Beveled plot pad","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","generated UV; material by district/house","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"environment.plaza","src/city.js#_plaza","Central plaza and fountain","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","primitive UV; pavers/ceramic/water","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"environment.tree","src/city.js#makeTree","Low-poly tree variants","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","primitive UV; bark/foliage","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"environment.road_props","src/city.js","Lamps, benches, flags and markings","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","primitive UV; metal/wood/fabric","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"resident.character","src/residents.js","Procedural resident body variants","city","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","primitive UV; shared opaque materials","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
"interior.shell","src/interior.js","Parametric floors, walls, openings and stairs","interior","runtime-parametric","local system origin","runtime-dependent","runtime-dependent","all generated primitives/BufferGeometry provide UV0","shared by category","primitive UV; plaster/floorWood/glass","not required at current gameplay size; camera culls with scene bounds","visual mesh is not used as a physics collider","none","none","none after task6 rework","keep procedural geometry; standardize material response","kept geometry; assigned controlled material library","build + day/night material deck + gameplay-camera review passed"
